Date,Symbol,Adj Close,Close,High,Low,Open,Volume,Exchange,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Weight
2024-07-01,GOOGL,182.53831481933597,182.9900054931641,183.8800048828125,181.3000030517578,183.02999877929688,16006100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-02,GOOGL,184.78274536132807,185.2400054931641,185.57000732421875,181.55999755859372,182.0500030517578,17372500.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-03,GOOGL,185.361328125,185.82000732421875,186.08999633789065,184.0,184.8500061035156,10242100.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-05,GOOGL,190.1295166015625,190.6000061035156,190.8600006103516,185.8000030517578,185.8600006103516,20967500.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-08,GOOGL,188.5633850097656,189.02999877929688,190.1699981689453,187.77999877929688,189.8999938964844,21035900.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-09,GOOGL,188.51351928710935,188.97999572753903,191.3600006103516,188.72000122070312,190.30999755859372,15121400.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-10,GOOGL,190.70806884765625,191.17999267578125,191.75,189.02999877929688,189.1499938964844,15952500.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-11,GOOGL,185.1119384765625,185.57000732421875,190.8600006103516,185.0800018310547,189.8500061035156,25625800.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-12,GOOGL,184.61317443847656,185.07000732421875,187.1100006103516,184.4900054931641,185.0800018310547,22898400.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-07-15,GOOGL,186.06954956054688,186.52999877929688,188.2400054931641,184.9199981689453,184.9199981689453,16474000.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
