activity,time,percentage
Biking,0,7.22E+00
Biking,5,2.71E+00
Biking,10,2.71E+00
Biking,15,2.71E+00
Biking,20,2.71E+00
Biking,25,2.71E+00
Biking,30,2.71E+00
Biking,35,2.71E+00
Biking,40,2.71E+00
Biking,45,2.71E+00
Biking,50,2.71E+00
Biking,55,2.71E+00
Biking,60,2.71E+00
Biking,65,2.71E+00
Biking,70,2.71E+00
Biking,75,2.71E+00
Biking,80,2.71E+00
Biking,85,2.71E+00
Biking,90,2.71E+00
Biking,95,2.71E+00
Biking,100,2.71E+00
Biking,105,2.71E+00
Biking,110,2.71E+00
Biking,115,2.71E+00
Biking,120,2.71E+00
Biking,125,2.71E+00
Biking,130,2.71E+00
Biking,135,2.71E+00
Biking,140,2.71E+00
Biking,145,0
Biking,150,0
Biking,155,0
Biking,160,0
Biking,165,0
Biking,170,0
Biking,175,0
Biking,180,0
Biking,185,0
Biking,190,0
Biking,195,0
Biking,200,0
Biking,205,0
Biking,210,0
Biking,215,0
Biking,220,0
Biking,225,0
Biking,230,0
Biking,235,0
Biking,240,0
Biking,245,0
Biking,250,0
Biking,255,0
Biking,260,0
Biking,265,0
Biking,270,6.76E+00
Biking,275,6.76E+00
Biking,280,1.60E+01
Biking,285,2.21E+01
Biking,290,2.21E+01
Biking,295,2.21E+01
Biking,300,7.65E+01
Biking,305,7.65E+01
Biking,310,7.93E+01
Biking,315,7.93E+01
Biking,320,7.93E+01
Biking,325,7.01E+01
Biking,330,1.30E+02
Biking,335,1.19E+02
Biking,340,1.19E+02
Biking,345,1.19E+02
Biking,350,1.31E+02
Biking,355,1.31E+02
Biking,360,1.84E+02
Biking,365,1.08E+02
Biking,370,1.16E+02
Biking,375,1.29E+02
Biking,380,1.26E+02
Biking,385,1.42E+02
Biking,390,1.78E+02
Biking,395,1.40E+02
Biking,400,1.44E+02
Biking,405,1.47E+02
Biking,410,1.22E+02
Biking,415,1.43E+02
Biking,420,2.50E+02
Biking,425,2.50E+02
Biking,430,2.63E+02
Biking,435,2.98E+02
Biking,440,3.14E+02
Biking,445,3.28E+02
Biking,450,3.97E+02
Biking,455,3.92E+02
Biking,460,4.01E+02
Biking,465,4.08E+02
Biking,470,4.00E+02
Biking,475,4.18E+02
Biking,480,4.53E+02
Biking,485,3.59E+02
Biking,490,3.60E+02
Biking,495,3.79E+02
Biking,500,3.57E+02
Biking,505,3.64E+02
Biking,510,3.96E+02
Biking,515,3.82E+02
Biking,520,3.92E+02
Biking,525,3.79E+02
Biking,530,3.80E+02
Biking,535,3.77E+02
Biking,540,4.97E+02
Biking,545,4.84E+02
Biking,550,4.88E+02
Biking,555,4.97E+02
Biking,560,5.34E+02
Biking,565,5.12E+02
Biking,570,5.67E+02
Biking,575,5.10E+02
Biking,580,4.89E+02
Biking,585,5.20E+02
Biking,590,5.69E+02
Biking,595,5.93E+02
Biking,600,6.93E+02
Biking,605,5.94E+02
Biking,610,6.11E+02
Biking,615,6.22E+02
Biking,620,6.22E+02
Biking,625,6.26E+02
Biking,630,6.92E+02
Biking,635,6.35E+02
Biking,640,6.42E+02
Biking,645,6.57E+02
Biking,650,6.55E+02
Biking,655,6.21E+02
Biking,660,7.42E+02
Biking,665,6.00E+02
Biking,670,6.08E+02
Biking,675,6.22E+02
Biking,680,5.89E+02
Biking,685,5.66E+02
Biking,690,6.19E+02
Biking,695,5.63E+02
Biking,700,5.74E+02
Biking,705,5.57E+02
Biking,710,5.58E+02
Biking,715,5.59E+02
Biking,720,6.23E+02
Biking,725,5.24E+02
Biking,730,5.29E+02
Biking,735,5.61E+02
Biking,740,5.49E+02
Biking,745,5.62E+02
Biking,750,6.29E+02
Biking,755,5.69E+02
Biking,760,5.77E+02
Biking,765,5.83E+02
Biking,770,5.69E+02
Biking,775,5.40E+02
Biking,780,5.79E+02
Biking,785,5.41E+02
Biking,790,5.50E+02
Biking,795,5.61E+02
Biking,800,5.89E+02
Biking,805,5.73E+02
Biking,810,5.84E+02
Biking,815,5.52E+02
Biking,820,5.69E+02
Biking,825,5.81E+02
Biking,830,5.65E+02
Biking,835,5.74E+02
Biking,840,6.97E+02
Biking,845,5.84E+02
Biking,850,5.78E+02
Biking,855,5.85E+02
Biking,860,6.04E+02
Biking,865,5.91E+02
Biking,870,6.29E+02
Biking,875,5.95E+02
Biking,880,5.89E+02
Biking,885,5.88E+02
Biking,890,6.02E+02
Biking,895,6.32E+02
Biking,900,6.65E+02
Biking,905,5.99E+02
Biking,910,5.83E+02
Biking,915,5.98E+02
Biking,920,5.95E+02
Biking,925,5.93E+02
Biking,930,6.73E+02
Biking,935,6.05E+02
Biking,940,6.14E+02
Biking,945,6.43E+02
Biking,950,6.36E+02
Biking,955,6.44E+02
Biking,960,7.21E+02
Biking,965,6.00E+02
Biking,970,6.04E+02
Biking,975,6.07E+02
Biking,980,5.94E+02
Biking,985,5.94E+02
Biking,990,6.69E+02
Biking,995,6.27E+02
Biking,1.00E+03,6.40E+02
Biking,1005,6.45E+02
Biking,1010,5.79E+02
Biking,1015,6.00E+02
Biking,1020,6.66E+02
Biking,1025,6.36E+02
Biking,1030,6.51E+02
Biking,1035,6.94E+02
Biking,1040,6.86E+02
Biking,1045,7.04E+02
Biking,1050,7.59E+02
Biking,1055,7.28E+02
Biking,1060,7.48E+02
Biking,1065,7.46E+02
Biking,1070,7.34E+02
Biking,1075,7.21E+02
Biking,1080,8.29E+02
Biking,1085,7.73E+02
Biking,1090,7.62E+02
Biking,1095,7.90E+02
Biking,1100,7.70E+02
Biking,1105,7.51E+02
Biking,1110,8.30E+02
Biking,1115,734.72
Biking,1120,6.97E+02
Biking,1125,6.91E+02
Biking,1130,6.83E+02
Biking,1135,6.47E+02
Biking,1140,7.21E+02
Biking,1145,6.12E+02
Biking,1150,5.97E+02
Biking,1155,6.09E+02
Biking,1160,5.73E+02
Biking,1165,5.80E+02
Biking,1170,5.41E+02
Biking,1175,3.94E+02
Biking,1180,3.92E+02
Biking,1185,3.52E+02
Biking,1190,3.42E+02
Biking,1195,3.31E+02
Biking,1200,3.81E+02
Biking,1205,3.04E+02
Biking,1210,2.88E+02
Biking,1215,3.61E+02
Biking,1220,3.06E+02
Biking,1225,2.84E+02
Biking,1230,2.79E+02
Biking,1235,2.36E+02
Biking,1240,2.36E+02
Biking,1245,2.30E+02
Biking,1250,1.95E+02
Biking,1255,1.77E+02
Biking,1260,1.69E+02
Biking,1265,1.53E+02
Biking,1270,1.35E+02
Biking,1275,1.34E+02
Biking,1280,8.79E+01
Biking,1285,8.25E+01
Biking,1290,5.81E+01
Biking,1295,5.35E+01
Biking,1300,5.35E+01
Biking,1305,5.35E+01
Biking,1310,5.35E+01
Biking,1315,4.70E+01
Biking,1320,3.08E+01
Biking,1325,1.85E+01
Biking,1330,1.85E+01
Biking,1335,1.85E+01
Biking,1340,1.85E+01
Biking,1345,1.85E+01
Biking,1350,1.85E+01
Biking,1355,1.60E+01
Biking,1360,1.60E+01
Biking,1365,2.05E+01
Biking,1370,2.24E+01
Biking,1375,2.24E+01
Biking,1380,2.24E+01
Biking,1385,2.05E+01
Biking,1390,1.71E+01
Biking,1395,1.71E+01
Biking,1400,1.71E+01
Biking,1405,1.98E+01
Biking,1410,1.98E+01
Biking,1415,9.04E+00
Biking,1420,9.04E+00
Biking,1425,7.22E+00
Biking,1430,7.22E+00
Biking,1435,7.22E+00
Boating,0,2.23E+01
Boating,5,2.02E+01
Boating,10,2.02E+01
Boating,15,2.02E+01
Boating,20,2.02E+01
Boating,25,2.02E+01
Boating,30,2.02E+01
Boating,35,2.02E+01
Boating,40,2.02E+01
Boating,45,2.02E+01
Boating,50,2.02E+01
Boating,55,2.02E+01
Boating,60,2.02E+01
Boating,65,2.02E+01
Boating,70,2.02E+01
Boating,75,2.02E+01
Boating,80,2.02E+01
Boating,85,2.02E+01
Boating,90,2.02E+01
Boating,95,2.02E+01
Boating,100,2.02E+01
Boating,105,2.02E+01
Boating,110,2.02E+01
Boating,115,2.02E+01
Boating,120,2.02E+01
Boating,125,2.02E+01
Boating,130,2.02E+01
Boating,135,2.02E+01
Boating,140,2.02E+01
Boating,145,2.02E+01
Boating,150,2.02E+01
Boating,155,2.02E+01
Boating,160,2.02E+01
Boating,165,2.02E+01
Boating,170,2.02E+01
Boating,175,2.02E+01
Boating,180,2.02E+01
Boating,185,2.02E+01
Boating,190,2.02E+01
Boating,195,2.02E+01
Boating,200,2.02E+01
Boating,205,2.02E+01
Boating,210,2.02E+01
Boating,215,2.02E+01
Boating,220,2.02E+01
Boating,225,2.02E+01
Boating,230,2.02E+01
Boating,235,2.02E+01
Boating,240,2.02E+01
Boating,245,2.02E+01
Boating,250,2.02E+01
Boating,255,2.02E+01
Boating,260,2.02E+01
Boating,265,2.02E+01
Boating,270,2.36E+01
Boating,275,2.36E+01
Boating,280,2.36E+01
Boating,285,2.36E+01
Boating,290,2.36E+01
Boating,295,2.36E+01
Boating,300,2.36E+01
Boating,305,2.36E+01
Boating,310,2.36E+01
Boating,315,2.36E+01
Boating,320,2.36E+01
Boating,325,2.36E+01
Boating,330,2.36E+01
Boating,335,3.10E+01
Boating,340,3.10E+01
Boating,345,3.10E+01
Boating,350,3.10E+01
Boating,355,3.10E+01
Boating,360,3.38E+01
Boating,365,3.38E+01
Boating,370,3.38E+01
Boating,375,3.38E+01
Boating,380,3.38E+01
Boating,385,3.38E+01
Boating,390,3.71E+01
Boating,395,2.97E+01
Boating,400,2.97E+01
Boating,405,3.69E+01
Boating,410,3.64E+01
Boating,415,3.94E+01
Boating,420,3.94E+01
Boating,425,3.58E+01
Boating,430,3.58E+01
Boating,435,3.58E+01
Boating,440,3.58E+01
Boating,445,3.58E+01
Boating,450,3.58E+01
Boating,455,4.35E+01
Boating,460,5.24E+01
Boating,465,5.68E+01
Boating,470,7.47E+01
Boating,475,7.73E+01
Boating,480,8.10E+01
Boating,485,1.07E+02
Boating,490,1.07E+02
Boating,495,1.13E+02
Boating,500,1.22E+02
Boating,505,1.23E+02
Boating,510,1.43E+02
Boating,515,1.61E+02
Boating,520,1.61E+02
Boating,525,1.61E+02
Boating,530,1.71E+02
Boating,535,1.73E+02
Boating,540,2.13E+02
Boating,545,2.15E+02
Boating,550,2.07E+02
Boating,555,2.20E+02
Boating,560,2.36E+02
Boating,565,2.40E+02
Boating,570,2.53E+02
Boating,575,2.41E+02
Boating,580,2.46E+02
Boating,585,2.65E+02
Boating,590,2.69E+02
Boating,595,2.72E+02
Boating,600,2.96E+02
Boating,605,2.96E+02
Boating,610,2.76E+02
Boating,615,2.96E+02
Boating,620,3.03E+02
Boating,625,3.05E+02
Boating,630,3.62E+02
Boating,635,3.76E+02
Boating,640,3.71E+02
Boating,645,4.04E+02
Boating,650,4.19E+02
Boating,655,4.03E+02
Boating,660,4.29E+02
Boating,665,4.29E+02
Boating,670,4.29E+02
Boating,675,4.41E+02
Boating,680,4.56E+02
Boating,685,4.51E+02
Boating,690,4.81E+02
Boating,695,4.83E+02
Boating,700,4.85E+02
Boating,705,4.89E+02
Boating,710,5.03E+02
Boating,715,4.94E+02
Boating,720,5.14E+02
Boating,725,4.79E+02
Boating,730,4.76E+02
Boating,735,4.77E+02
Boating,740,5.01E+02
Boating,745,5.13E+02
Boating,750,5.55E+02
Boating,755,5.27E+02
Boating,760,5.27E+02
Boating,765,5.20E+02
Boating,770,5.21E+02
Boating,775,5.11E+02
Boating,780,5.42E+02
Boating,785,5.21E+02
Boating,790,5.41E+02
Boating,795,5.60E+02
Boating,800,5.77E+02
Boating,805,5.71E+02
Boating,810,5.92E+02
Boating,815,5.81E+02
Boating,820,5.82E+02
Boating,825,6.04E+02
Boating,830,5.91E+02
Boating,835,5.94E+02
Boating,840,6.53E+02
Boating,845,6.13E+02
Boating,850,6.29E+02
Boating,855,6.55E+02
Boating,860,6.74E+02
Boating,865,6.44E+02
Boating,870,6.49E+02
Boating,875,6.30E+02
Boating,880,6.34E+02
Boating,885,6.38E+02
Boating,890,6.30E+02
Boating,895,6.38E+02
Boating,900,6.71E+02
Boating,905,5.93E+02
Boating,910,6.13E+02
Boating,915,6.24E+02
Boating,920,5.97E+02
Boating,925,5.79E+02
Boating,930,6.04E+02
Boating,935,5.76E+02
Boating,940,5.76E+02
Boating,945,6.06E+02
Boating,950,6.26E+02
Boating,955,6.31E+02
Boating,960,6.47E+02
Boating,965,5.48E+02
Boating,970,5.46E+02
Boating,975,5.34E+02
Boating,980,5.45E+02
Boating,985,5.42E+02
Boating,990,5.78E+02
Boating,995,5.31E+02
Boating,1.00E+03,5.13E+02
Boating,1005,5.19E+02
Boating,1010,5.04E+02
Boating,1015,5.04E+02
Boating,1020,5.54E+02
Boating,1025,4.55E+02
Boating,1030,4.44E+02
Boating,1035,4.39E+02
Boating,1040,4.33E+02
Boating,1045,4.07E+02
Boating,1050,4.05E+02
Boating,1055,3.66E+02
Boating,1060,3.80E+02
Boating,1065,3.94E+02
Boating,1070,3.97E+02
Boating,1075,4.13E+02
Boating,1080,4.19E+02
Boating,1085,3.36E+02
Boating,1090,3.31E+02
Boating,1095,3.55E+02
Boating,1100,3.10E+02
Boating,1105,3.41E+02
Boating,1110,3.43E+02
Boating,1115,3.18E+02
Boating,1120,3.09E+02
Boating,1125,3.16E+02
Boating,1130,3.02E+02
Boating,1135,3.12E+02
Boating,1140,3.35E+02
Boating,1145,2.52E+02
Boating,1150,2.54E+02
Boating,1155,2.64E+02
Boating,1160,2.64E+02
Boating,1165,2.35E+02
Boating,1170,2.59E+02
Boating,1175,2.33E+02
Boating,1180,2.24E+02
Boating,1185,2.07E+02
Boating,1190,1.97E+02
Boating,1195,1.97E+02
Boating,1200,2.09E+02
Boating,1205,1.63E+02
Boating,1210,1.55E+02
Boating,1215,1.55E+02
Boating,1220,1.50E+02
Boating,1225,1.38E+02
Boating,1230,1.40E+02
Boating,1235,1.13E+02
Boating,1240,1.11E+02
Boating,1245,1.17E+02
Boating,1250,1.15E+02
Boating,1255,1.15E+02
Boating,1260,1.13E+02
Boating,1265,5.40E+01
Boating,1270,4.78E+01
Boating,1275,4.47E+01
Boating,1280,4.47E+01
Boating,1285,4.47E+01
Boating,1290,5.40E+01
Boating,1295,4.31E+01
Boating,1300,4.31E+01
Boating,1305,4.70E+01
Boating,1310,5.54E+01
Boating,1315,5.54E+01
Boating,1320,5.54E+01
Boating,1325,4.38E+01
Boating,1330,3.54E+01
Boating,1335,3.54E+01
Boating,1340,3.54E+01
Boating,1345,3.54E+01
Boating,1350,5.44E+01
Boating,1355,5.44E+01
Boating,1360,5.44E+01
