timestamp,Biking,Boating,Bowling,Dancing,Doing aerobics,Doing yoga,Golfing,Hiking,Participating in martial arts,Participating in water sports,Playing baseball,Playing basketball,Playing billiards,Playing football,Playing soccer,Playing volleyball,Rollerblading,Running,"Skiing, ice skating, snowboarding",Softball,Using cardiovascular equipment,Vehicle touring/racing,Walking,"Working out, unspecified"
0.0,7.22,22.3,123.0,627.0,10.3,2.65,17.8,0.0,0.0,22.4,0.0,17.6,421.0,6.62,0.0,0.0,25.6,64.5,1.82,0.0,106.0,31.6,126.0,115.0
5.0,2.71,20.2,93.4,558.0,10.3,0.0,16.8,0.0,0.0,17.8,0.0,19.0,324.0,6.62,0.0,0.0,12.8,64.5,0.0,0.0,76.1,27.8,76.7,68.2
10.0,2.71,20.2,93.4,572.0,10.3,0.0,16.8,0.0,0.0,17.8,0.0,19.0,328.0,6.62,0.0,0.0,12.8,64.5,0.0,0.0,57.2,27.8,73.5,73.2
15.0,2.71,20.2,93.4,575.0,10.3,3.76,16.8,0.0,0.0,17.8,0.0,19.0,323.0,6.62,0.0,0.0,12.8,64.5,0.0,0.0,52.2,27.8,70.9,63.8
20.0,2.71,20.2,90.6,558.0,10.3,3.76,16.8,0.0,0.0,17.8,0.0,19.0,310.0,6.62,0.0,0.0,12.8,64.5,0.0,0.0,47.5,27.8,57.4,71.0
25.0,2.71,20.2,88.1,551.0,10.3,3.76,16.8,0.0,0.0,24.0,0.0,19.0,310.0,6.62,0.0,0.0,0.0,64.5,0.0,0.0,12.2,26.2,62.0,71.0
30.0,2.71,20.2,88.1,550.0,10.3,0.0,16.8,0.0,0.0,24.0,0.0,19.0,308.0,6.62,0.0,0.0,0.0,64.5,0.0,0.0,34.9,26.2,71.9,93.6
35.0,2.71,20.2,86.4,497.0,10.3,0.0,16.8,0.0,0.0,18.8,0.0,19.0,258.0,6.62,0.0,0.0,0.0,64.5,0.0,0.0,22.7,26.2,56.3,111.0
40.0,2.71,20.2,84.6,504.0,0.0,0.0,16.8,0.0,0.0,18.8,0.0,19.0,262.0,6.62,0.0,0.0,0.0,64.5,0.0,0.0,22.7,26.2,56.3,113.0
45.0,2.71,20.2,84.6,515.0,0.0,0.0,16.8,0.0,0.0,18.8,0.0,19.0,302.0,6.62,0.0,0.0,0.0,64.5,0.0,0.0,27.8,26.2,52.7,113.0
50.0,2.71,20.2,102.0,505.0,0.0,0.0,16.8,0.0,0.0,18.8,0.0,19.0,283.0,6.62,0.0,0.0,0.0,64.5,0.0,0.0,27.8,26.2,46.2,80.1
55.0,2.71,20.2,102.0,505.0,0.0,0.0,16.8,0.0,0.0,18.8,0.0,19.0,260.0,6.62,0.0,0.0,0.0,64.5,0.0,0.0,27.8,26.2,45.1,80.1
60.0,2.71,20.2,102.0,507.0,0.0,0.0,16.8,0.0,0.0,18.8,0.0,19.0,265.0,6.62,0.0,11.7,3.88,64.5,0.0,0.0,27.8,26.2,62.8,70.3
65.0,2.71,20.2,62.2,395.0,0.0,0.0,16.8,0.0,0.0,14.5,0.0,10.7,220.0,6.62,0.0,11.7,3.88,64.5,0.0,0.0,32.8,24.7,62.9,65.6
70.0,2.71,20.2,62.2,379.0,0.0,0.0,16.8,0.0,0.0,14.5,0.0,10.7,210.0,6.62,0.0,11.7,3.88,75.5,0.0,0.0,32.8,24.7,60.7,50.9
75.0,2.71,20.2,62.2,377.0,0.0,0.0,16.8,0.0,0.0,14.5,0.0,7.03,202.0,6.62,0.0,11.7,3.88,75.5,0.0,0.0,48.7,24.7,57.7,43.7
80.0,2.71,20.2,53.3,375.0,0.0,0.0,16.8,0.0,0.0,14.5,0.0,7.03,198.0,6.62,0.0,11.7,3.88,75.5,0.0,0.0,26.0,24.7,52.0,58.1
85.0,2.71,20.2,53.3,372.0,0.0,0.0,16.8,0.0,0.0,14.5,0.0,5.04,198.0,6.62,0.0,11.7,3.88,75.5,0.0,0.0,26.0,24.7,52.0,49.0
90.0,2.71,20.2,53.3,400.0,0.0,0.0,16.8,0.0,0.0,26.1,0.0,5.04,210.0,6.62,0.0,11.7,3.88,75.5,0.0,0.0,26.0,24.7,57.5,43.1
95.0,2.71,20.2,53.3,381.0,0.0,0.0,16.8,0.0,0.0,26.1,0.0,5.04,177.0,6.62,0.0,0.0,3.88,0.0,0.0,0.0,15.9,24.7,80.9,105.0
100.0,2.71,20.2,53.3,376.0,0.0,0.0,16.8,0.0,0.0,26.1,0.0,5.04,175.0,6.62,0.0,0.0,3.88,7.16,0.0,0.0,15.9,24.7,80.9,98.2
105.0,2.71,20.2,53.3,386.0,0.0,0.0,0.0,0.0,0.0,26.1,0.0,5.04,175.0,6.62,0.0,0.0,3.88,12.2,0.0,0.0,15.9,24.7,83.9,84.4
110.0,2.71,20.2,53.3,365.0,0.0,0.0,0.0,0.0,0.0,26.1,0.0,5.04,129.0,6.62,0.0,0.0,0.0,12.2,0.0,0.0,15.9,24.7,87.6,97.0
